種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
592,ビンズイ,Anthus hodgsoni,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
592-1,カラフトビンズイ,Anthus hodgsoni yunnanensis,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
592-2,ビンズイ,Anthus hodgsoni hodgsoni,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
593,セジロタヒバリ,Anthus gustavi,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
593-1,セジロタヒバリ,Anthus gustavi gustavi,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
594,ウスベニタヒバリ,Anthus roseatus,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
595,ムネアカタヒバリ,Anthus cervinus,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
596,タヒバリ,Anthus rubescens,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
596-1,タヒバリ,Anthus rubescens japonicus,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
597,ズアオアトリ,Fringilla coelebs,FRINGILLA,アトリ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
597-1,ズアオアトリ,Fringilla coelebs coelebs,FRINGILLA,アトリ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
598,アトリ,Fringilla montifringilla,FRINGILLA,アトリ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
599,シメ,Coccothraustes coccothraustes,COCCOTHRAUSTES,シメ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
599-1,シベリアシメ,Coccothraustes coccothraustes coccothraustes,COCCOTHRAUSTES,シメ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
599-2,シメ,Coccothraustes coccothraustes japonicus,COCCOTHRAUSTES,シメ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
600,コイカル,Eophona migratoria,EOPHONA,イカル属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
600-1,コイカル,Eophona migratoria migratoria,EOPHONA,イカル属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
601,イカル,Eophona personata,EOPHONA,イカル属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
601-1,イカル,Eophona personata personata,EOPHONA,イカル属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
602,ギンザンマシコ,Pinicola enucleator,PINICOLA,ギンザンマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
602-1,コバシギンザンマシコ,Pinicola enucleator kamtschatkensis,PINICOLA,ギンザンマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
602-2,ギンザンマシコ,Pinicola enucleator sakhalinensis,PINICOLA,ギンザンマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
603,ウソ,Pyrrhula pyrrhula,PYRRHULA,ウソ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
603-1,ハイイロウソ,Pyrrhula pyrrhula cineracea,PYRRHULA,ウソ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
603-2,ベニバラウソ,Pyrrhula pyrrhula cassinii,PYRRHULA,ウソ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
603-3,アカウソ,Pyrrhula pyrrhula rosacea,PYRRHULA,ウソ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
603-4,ウソ,Pyrrhula pyrrhula griseiventris,PYRRHULA,ウソ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
604,ハギマシコ,Leucosticte arctoa,LEUCOSTICTE,ハギマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
604-1,ハギマシコ,Leucosticte arctoa brunneonucha,LEUCOSTICTE,ハギマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
605,アカマシコ,Carpodacus erythrinus,CARPODACUS,オオマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
605-1,アカマシコ,Carpodacus erythrinus grebnitskii,CARPODACUS,オオマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
606,オガサワラマシコ,Carpodacus ferreorostris,CARPODACUS,オオマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
607,ベニマシコ,Carpodacus sibiricus,CARPODACUS,オオマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
607-1,ベニマシコ,Carpodacus sibiricus sanguinolentus,CARPODACUS,オオマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
608,オオマシコ,Carpodacus roseus,CARPODACUS,オオマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
608-1,オオマシコ,Carpodacus roseus portenkoi,CARPODACUS,オオマシコ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
609,カワラヒワ,Chloris sinica,CHLORIS,カワラヒワ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,種
609-1,オオカワラヒワ,Chloris sinica kawarahiba,CHLORIS,カワラヒワ属,FRINGILLIDAE,アトリ科,PASSERIFORMES,スズメ目,亜種
